Course Dept,Course #,Course Name,Prerequisites,Units,Tools,Description,Course Cluster
Engineering (ENGIN),170,Introduction to Modeling and Simulation,"E 7, MATH 53, MATH 54, Upper division standing",4,R,"Introduces concepts of computational modeling and simulation, using multidisciplinary projects drawn from biology, chemistry, applied mathematics, and physics, and all areas of engineering. Models progress sequentially through problem statement, mathematical model, approximations and analytic solution, discrete model, object-oriented model, implementation and simulation, visualization, comparison to analysis, experiment and observation. Includes a broad survey of simulation techniques.",Engineering
Engineering (ENGIN),117,Methods of Engineering Analysis,"MATH 53, MATH 54",3,Python,Methods of theoretical engineering analysis; techniques for analyzing partial differential equations and the use of special functions related to engineering systems. Sponsoring Department: Mechanical Engineering.,Engineering
Engineering (ENGIN),120,Principles of Engineering Economics,Upper division standing,3,nan,"Economic analysis for engineering decision making: Capital flows, effect of time and interest rate. Different methods of evaluation of alternatives. Minimum-cost life and replacement analysis. Depreciation and taxes. Uncertainty; preference under risk; decision analysis. Capital sources and their effects. Economic studies.",Engineering
Industrial Engineering and Operations Research (IND ENG),115,Databases,None,3,"MS Access, SQL","Design and implementation of databases, with an emphasis on industrial and commercial applications. Relational algebra, SQL, normalization. Students work in teams with local companies on a database design project. WWW design and queries.",Engineering
Industrial Engineering and Operations Research (IND ENG),131,Discrete Event Simulation,"IEOR 161, IEOR 165, IEOR 172 or STAT 134.",3,nan,"Free communication has changed the world, including the expectations and work and play. The class begins with the two data revolutions--the first about passively collected clicks on the web, the second about actively contributed data, as platforms like Facebook empower individuals to contribute a variety of quantitative and qualitative data (transactions, social relations, attention gestures, intention, location, and more.) With active student participation, we explore the far-reaching implications of the consumer data revolution for individuals, communities, business, and society.",Engineering
Industrial Engineering and Operations Research (IND ENG),165,"Engineering Statistics, Quality Control, Forecasting",IEOR 172 or STAT 134,3,"R, Python, or MATLAB","This course will introduce students to basic statistical techniques such as parameter estimation, hypothesis testing, regression analysis, analysis of variance. Specific applications in forecasting and quality control will be considered in detail.",Engineering
Industrial Engineering and Operations Research (IND ENG),162,Linear Programming and Network Flows,"MATH 53, MATH 54",3,nan,"This course addresses modeling and algorithms for optimization of linear constrained optimization problems. The simplex method; theorems of duality; complementary slackness. Applications in production planning and resource allocation. Graph and network problems as linear programs with integer solutions. Algorithms for selected network flow problems. Transportation and logistics problems. Dynamic programming and its role in applications to shortest paths, project management and equipment replacement.",Engineering
Industrial Engineering and Operations Research (IND ENG),130,Methods of Manufacturing Improvement,"IEOR 172 or STAT 134, MATH 54",3,nan,"Analytical techniques for the improvement of manufacturing performance along the dimensions of productivity, quality, customer service, and throughput. Techniques for yield analysis, process control, inspection sampling, equipment efficiency analysis, cycle time reduction, and on-time delivery improvement. Applications on semiconductor manufacturing or other industrial settings.",Engineering
Industrial Engineering and Operations Research (IND ENG),172,Probability and Risk Analysis for Engineers,MATH 1A - MATH 1B or MATH 16A - MATH 16B,3,nan,"This course will introduce students to basic statistical techniques such as parameter estimation, hypothesis testing, regression analysis, analysis of variance. Specific applications in forecasting and quality control will be considered in detail.",Engineering
Mechanical Engineering (MEC ENG),120,Computational Biomechanics Across Multiple Scales,ME C85,3,nan,This course applies the methods of computational modeling and continuum mechanics to biomedical phenomena spanning various length scales ranging from molecular to cellular to tissue and organ levels. The course is intended for upper level undergraduate students who have been exposed to undergraduate continuum mechanics (statics and strength of materials.),Engineering
Mechanical Engineering (MEC ENG),C180,Engineering Analysis Using the Finite Element Method,"E 7 or CS 61A, MATH 53, MATH 54, Upper division standing",3,nan,"This is an introductory course on the finite element method and is intended for seniors in engineering and applied science disciplines. The course covers the basic topics of finite element technology, including domain discretization, polynomial interpolation, application of boundary conditions, assembly of global arrays, and solution of the resulting algebraic systems. Finite element formulations for several important field equations are introduced using both direct and integral approaches. Particular emphasis is placed on computer simulation and analysis of realistic engineering problems from solid and fluid mechanics, heat transfer, and electromagnetism. ",Engineering
Mechanical Engineering (MEC ENG),102A,Introduction to Mechanical Systems for Mechatronics,"E 10, E 28, ENG R1A, MEC ENG C85 or CIV ENG C30, EE 40 or EE 100",4,nan,"The objectives of this course are to introduce students to modern experimental techniques for mechanical engineering, and to improve students' written and oral communication skills. Students will be provided exposure to, and experience with, a variety of sensors used in mechatronic systems including sensors to measure temperature, displacement, velocity, acceleration and strain. The role of error and uncertainty in measurements and analysis will be examined. Students will also be provided exposure to, and experience with, using commercial software for data acquisition and analysis. The role and limitations of spectral analysis of digital data will be discussed.",Engineering
Nuclear Engineering (NUC ENG),130,Analytical Methods for Non-proliferation,NUC ENG 101,4,nan,"Use of nuclear measurement techniques to detect clandestine movement and/or possession of nuclear materials by third parties. Nuclear detection, forensics, signatures, and active and passive interrogation methodologies will be explored. Techniques currently deployed for arms control and treaty verification will be discussed. Emphasis will be placed on common elements of detection technology from the viewpoint of resolution of threat signatures from false positives due to naturally occurring radioactive material. Laboratory will involve experiments conducted in the Nucleonics Laboratory featuring passive and active neutron signals, gamma ray detection, fission neutron multiplicity, and U and Pu isotopic identification and age determination. Students should be familiar with alpha, beta, gamma, and neutron radiation and basic concepts of nuclear fission.",Engineering
Nuclear Engineering (NUC ENG),175,Methods of Risk Analysis,Upper division standing,3,nan,"Methodological approaches for the quantification of technological risk and risk based decision making. Probabilistic safety assessment, human health risks, environmental and ecological risk analysis.",Engineering
