Type of Course,Department,Course #,Course Name,Units,Prerequisites,Tools,Description,,
Method,Computer Science (COMPSCI),61A,The Structure and Interpretation of Computer Programs,4,Math 1A,"Scheme, SQL, Python","Introduction to programming and computer science. This course exposes students to techniques of abstraction at several levels: (a) within a programming language, using higher-order functions, manifest types, data-directed programming, and message-passing; (b) between programming languages, using functional and rule-based languages as examples. It also relates these techniques to the practical problems of implementation of languages and algorithms on a von Neumann machine. There are several significant programming projects. ",,
Method,Computer Science (COMPSCI),61B,Data Structures,4,CS 61A or E7,Java,"Fundamental dynamic data structures, including linear lists, queues, trees, and other linked structures; arrays strings, and hash tables. Storage management. Elementary principles of software engineering. Abstract data types. Algorithms for sorting and searching. Introduction to the Java programming language. ",,
Method,Computer Science (COMPSCI),61C,Machine Structures,4,"CS 61B, ",,"The internal organization and operation of digital computers. Machine architecture, support for high-level languages (logic, arithmetic, instruction sequencing) and operating systems (I/O, interrupts, memory management, process switching). Elements of computer logic design. Tradeoffs involved in fundamental architectural design decisions. ",,
Method,Demography (DEMOG),5,Fundamentals of Population Science,3,None,,"This course provides an accessible introduction to the social science of demography. The course is organized around cases in which population issues raise policy or ethical dilemmas (example: China's one child policy). Through these cases, students will learn how demographers use models and data to acquire knowledge about population. Throughout the course, students will also learn to read, interpret, evaluate, and produce tabular and graphical representations of population data.",,
Method,Demography (DEMOG),110,Introduction to Population Analysis,3,None,,"Measures and methods of Demography. Life tables, fertility and nuptiality measures, age pyramids, population projection, measures of fertility control.",,
Method,Demography (DEMOG),C126,Social Consequences of Population Dynamics,4,SOC 1 or 3 or 3AC or consent of instructor,,"Introduction to population issues and the field of demography, with emphasis on historical patterns of population growth and change during the industrial era. Topics covered include the demographic transition, resource issues, economic development, the environment, population control, family planning, birth control, family and gender, aging, intergenerational transfers, and international migration.",,
Method,Demography (DEMOG),C164,Impact of Government Policies on Poor Children and Families,4,None,MATLAB,"Examination of the impact of policies of state intervention and public benefit programs on poor children and families. Introduction to child and family policy, and study of specific issue areas, such as income transfer programs, housing, health care, and child abuse.",,
Method,Demography (DEMOG),C175,Economic Demography,3,ECON 1 or 2,MATLAB,"A general introduction to economic demography, addressing the following kinds of questions: What are the economic consequences of immigration to the U.S.? Will industrial nations be able to afford the health and pension costs of the aging populations? How has the size of the baby boom affected its economic well being? Why has fertility been high in Third World countries? In industrial countries, why is marriage postponed, divorce high, fertility so low, and extramarital fertility rising? What are the economic and environmental consequences of rapid population growth?",,
Method,Earth and Planetary Science (EPS),104,Mathematical Methods in Geophysics,4,MATH 53 and 54,MATLAB,"Linear systems. Linear inverse problems, least squares; generalized inverse, resolution; Fourier series, integral transforms; time series analysis, spherical harmonics; partial differntial equations of geophysics; functions of a complex variable; probability and significance tests, maximum likelihood methods. Intended for students in geophysics and other physical sciences.",,
Method,Earth and Planetary Science (EPS),109,Computer Simulations in Earth and Planetary Sciences,4,MATH 1A or equivalent,COMSOL,"Introduction to modern computer simulation methods and their application to selected Earth and Planetary Science problems. In hands-on computer labs, students will learn about numerical algorithms, learn to program and modify provided programs, and display the solution graphically. This is an introductory course and no programming experience is required. Examples include fractals in geophysics, properties of materials at high pressure, celestial mechanics, and diffusion processes in the Earth. Topics range from ordinary and partial differential equations to molecular dynamics and Monte Carlo simulations.",,
Core,Economics (ECON),141,Econometric Analysis,4,"100A-100B or 101A-101B, Statistics 20, 21, 25, or 131A and Mathematics 53 and 54",R,"Introduction to problems of observation, estimation, and hypothesis testing in economics. This course covers the statistical theory for the linear regression model and its variants, with examples from empirical economics.",,
Method,Economics (ECON),C103,Introduction to Mathematical Economics,4,MATH 53 and 54,FEMLAB,"Selected topics illustrating the application of mathematics to economic theory. This course is intended for upper-division students in Mathematics, Statistics, the Physical Sciences, and Engineering, and for economics majors with adequate mathematical preparation. No economic background is required.",,
Method,Economics (ECON),140,Economic Statistics and Econometrics,4,"100A-100B or 101A-101B or equivalent and Statistics 20, 21, 25, or 131A or equivalent",,"Introduction to problems of observation, estimation, and hypothesis testing in economics. This course covers the linear regression model and its application to empirical problems in economics.",,
Method,Economics (ECON),141,Econometric Analysis,4,"100A-100B or 101A-101B or equivalent; Statistics 20, 21, 25, or 131A, or equivalent; and Mathematics 53 and 54, or equivalent",,"Introduction to problems of observation, estimation, and hypothesis testing in economics. This course covers the statistical theory for the linear regression model and its variants, with examples from empirical economics.",,
Method,Economics (ECON),C142,Applied Econometrics and Public Policy,4,140 or 141 or consent of instructor,,"This course focuses on the sensible application of econometric methods to empirical problems in economics and public policy analysis. It provides background on issues that arise when analyzing non-experimental social science data and a guide for tools that are useful for empirical research. By the end of the course, students will have an understanding of the types of research designs that can lead to convincing analysis and be comfortable working with large scale data sets.",,
Method,Economics (ECON),174,Global Poverty and Impact Evaluation,4,"At least one prior term of intermediate economics (i.e., 100A or 100B) and some prior coursework in statistics",,"Rather than simply describing the causes and symptoms of global poverty, this course will explore the variety of tools available for rigorously measuring the impact of development programs. Through weekly case studies of field research, the course will cover impact evaluation theory and methods. The course will culminate with a final project in which each student will design an impact evaluation of a policy or intervention.",,
Method,Economics (ECON),C175,Economic Demography,3,ECON 1 or 2,,"A general introduction to economic demography, addressing the following kinds of questions: What are the economic consequences of immigration to the U.S.? Will industrial nations be able to afford the health and pension costs of the aging populations? How has the size of the baby boom affected its economic well being? Why has fertility been high in Third World countries? In industrial countries, why is marriage postponed, divorce high, fertility so low, and extramarital fertility rising? What are the economic and environmental consequences of rapid population growth?",,
Core,Electrical Engineering (EL ENG),144,"Fundamental Algorithms for Systems Modeling, Analysis, and Optimization",4,EE20; Computer Science 70,"R, Python","The modeling, analysis, and optimization of complex systems requires a range of algorithms and design software. This course reviews the fundamental techniques underlying the design methodology for complex systems, using integrated circuit design as example. Topics include design flows, discrete and continuous models and algorithms, and strategies for implementing algorithms efficiently and correctly in software. Laboratory assignments and a class project will expose students to state-of-the-art tools.",,
Method,Electrical Engineering (EL ENG),126,Probability and Random Processes,4,EE 16A and 16B,,"This course covers the fundamentals of probability and random processes useful in fields such as networks, communication, signal processing, and control. Sample space, events, probability law. Conditional probability. Independence. Random variables. Distribution, density functions. Random vectors. Law of large numbers. Central limit theorem. Estimation and detection. Markov chains.",,
Method,Electrical Engineering (EL ENG),127,Optimization Models in Engineering,4,MATH 54 or equivalent or consent of instructor,,"This course offers an introduction to optimization models and their applications, ranging from machine learning and statistics to decision-making and control, with emphasis on numerically tractable problems, such as linear or constrained least-squares optimization.",,
Method,Electrical Engineering (EL ENG),129,Neural and Nonlinear Information Processing,3,EE 120 or consent of instructor,,"Principles of massively parallel real-time computation, optimization, and information processing via nonlinear dynamics and analog VLSI neural networks, applications selected from image processing, pattern recognition, feature extraction, motion detection, data compression, secure communication, bionic eye, auto waves, and Turing patterns.",,
Method,Electrical Engineering (EL ENG),144,"Fundamental Algorithms for Systems Modeling, Analysis, and Optimization",4,EE 16A or EE 20; Computer Science 70 or consent of instructor,,"The modeling, analysis, and optimization of complex systems requires a range of algorithms and design software. This course reviews the fundamental techniques underlying the design methodology for complex systems, using integrated circuit design as example. Topics include design flows, discrete and continuous models and algorithms, and strategies for implementing algorithms efficiently and correctly in software. Laboratory assignments and a class project will expose students to state-of-the-art tools.",,
Core,Engineering (ENGIN),170,Introduction to Modeling and Simulation,4,"Junior, senior, or graduate standing. 7 or 77, Mathematics 53, 54.",R,"Introduces concepts of computational modeling and simulation, using multidisciplinary projects drawn from biology, chemistry, applied mathematics, and physics, and all areas of engineering. Models progress sequentially through problem statement, mathematical model, approximations and analytic solution, discrete model, object-oriented model, implementation and simulation, visualization, comparison to analysis, experiment and observation. Includes a broad survey of simulation techniques.",,
Core,Engineering (ENGIN),177,Advanced Programming with MATLAB,3,7 or 77; Mathematics 53 and 54,"Bash, Git, Python, LaTex","The course builds an understanding, demonstrates engineering uses, and provides hand-on experience for object-oriented programming as well as exposes a practical knowledge of advanced features available in MATLAB. The course will begin with a brief review of basic MATLAB features and quickly move to class organization and functionality. The introduced concepts are reinforced by examining the advanced graphical features of MATLAB. The material will also include the effective use of programs written in C and FORTRAN, and will cover SIMULINK, a MATLAB toolbox providing for an effective ways of model simulations. Throughout the course, the emphasis will be placed on examples and homework assignments from engineering disciplines.",,
Core,Engineering (ENGIN),180A,Computational Engineering Science Modeling and Simulation I/II,4,"Senior/graduate standing in engineering or applied sciences, 7 or 77, Mathematics 128A-128B; 170A-170B recommended. 180A must be taken prior to taking 180B.",,"This course sequence focuses on the concepts of computational modeling and simulation. Concepts are illustrated with projects drawn from the multidisciplinary areas of computational engineering science. Areas covered span biology, chemistry, applied mathematics, and physics, as well as all areas of engineering. Models will progress sequentially through problem statement, mathematical model, approximations and analytic solution, discrete model, object-oriented model, implementation and simulation, visualization, and comparison to analysis, experimentation and observation.",,
Method,Engineering (ENGIN),7,Introduction to Computer Programming for Scientists and Engineers,4,Mathematics 1B (maybe taken concurrently),,"Elements of procedural and object-oriented programming. Induction, iteration, and recursion. Real functions and floating-point computations for engineering analysis. Introduction to data structures. Representative examples are drawn from mathematics, science, and engineering. The course uses the MATLAB programming language. Sponsoring departments: Civil and Environmental Engineering and Mechanical Engineering.",,
Method,Engineering (ENGIN),117,Methods of Engineering Analysis,3,MATH 53 and 54,Python,Methods of theoretical engineering analysis; techniques for analyzing partial differential equations and the use of special functions related to engineering systems. Sponsoring Department: Mechanical Engineering.,,
Method,Engineering (ENGIN),120,Principles of Engineering Economics,3,Completion of 60 units of an approved engineering curriculum,,"Economic analysis for engineering decision making: Capital flows, effect of time and interest rate. Different methods of evaluation of alternatives. Minimum-cost life and replacement analysis. Depreciation and taxes. Uncertainty; preference under risk; decision analysis. Capital sources and their effects. Economic studies.",,
Method,Engineering (ENGIN),177,Advanced Programming With MATLAB,3,Engineering 7 or 77; Mathematics 53 and 54 (one of these may be taken concurrently),,"The course builds an understanding, demonstrates engineering uses, and provides hand-on experience for object-oriented programming as well as exposes a practical knowledge of advanced features available in MATLAB. The course will begin with a brief review of basic MATLAB features and quickly move to class organization and functionality. The introduced concepts are reinforced by examining the advanced graphical features of MATLAB. The material will also include the effective use of programs written in C and FORTRAN, and will cover SIMULINK, a MATLAB toolbox providing for an effective ways of model simulations. Throughout the course, the emphasis will be placed on examples and homework assignments from engineering disciplines.",,
Method,Environmental Design (ENV DES),4B,Global Cities,3,None,,"This study of cities is more important than ever; for the first time in history more people live in urban than rural areas, and cities will account for all of the world's population growth for at least the next half-century. We will explore the challenges facing global cities in the 21st Century and expose students to some of the key texts, theories, and methods of inquiry that shape the built environment, from the human scale of home and community to the regional scale of the megacity.",,
Method,Environmental Design (ENV DES),100,The City: Theories and Methods in Urban Studies,4,None,,"This course is concerned with the study of cities. Focusing on great cities around the world - from Chicago to Los Angeles, from Rio to Shanghai, from Vienna to Cairo it covers of historical and contemporary patterns of urbanization and urbanism. Through these case studies, it introduces the key ideas, debates, and research genres of the interdisciplinary field of urban studies. In other words, this is simultaneously a ""great cities"" and ""great theories"" course. Its purpose is to train students in critical analysis of the socio-spatial formations of their lived world.",,
Core,Environmental Economics and Policy (ENVECON),C118,Introductory Applied Econometrics,4,Statistics 2 or equivalent.,,"Formulation of a research hypothesis and definition of an empirical strategy. Regression analysis with cross-sectional and time-series data; econometric methods for the analysis of qualitative information; hypothesis testing. The techniques of statistical and econometric analysis are developed through applications to a set of case studies and real data in the fields of environmental, resource, and international development economics. Students learn the use of a statistical software for economic data analysis. Also listed as International and Area Studies C118.",,
Method,Environmental Economics and Policy (ENVECON),C118,Introductory Applied Econometrics,4,None,,"Formulation of a research hypothesis and definition of an empirical strategy. Regression analysis with cross-sectional and time-series data; econometric methods for the analysis of qualitative information; hypothesis testing. The techniques of statistical and econometric analysis are developed through applications to a set of case studies and real data in the fields of environmental, resource, and international development economics. Students learn the use of a statistical software for economic data analysis.",,
Method,Environmental Economics and Policy (ENVECON),131,Globalization and the Natural Environment,3,Intermediate microeconomic theory or consent of instructor,,"An examination of the environmental effects of globalization. How has increased international trade, the integration of factor markets, and the adoption of international agreements affected the environment? Case studies include the environmental impact of GATT/WTO and NAFTA. Multi-disciplinary approach examines the actual laws and institutions and the economic theories of globalization, in addition to the empirical evidence of globalization's environmental effects.",,
Method,Environmental Economics and Policy (ENVECON),140AC,"Economics of Race, Agriculture, and the Environment",3,"ENVECON 1, or one lower division course in a social science, or consent of instructor",,"This course examines whether and how economic processes explain shifting formations of race and differential experiences among racial groups in U.S. agricultural and environmental systems. It approaches economic processes as organizing dynamics of racial differentiation and integration, and uses comparative experience among different racial and ethnic groups as sources of evidence against which economic theories of differentiation and integration can be tested.",,
Method,Environmental Economics and Policy (ENVECON),142,Industrial Organization with Applications to Agriculture and Natural Resources,4,Environmental Economics and Policy 100 or Economics 100A or 101A,,"Organization and performance of agricultural and resource markets. Conduct of firms within those markets, such as price competition, product differentiation, predatory pricing, vertical integration, dealer networks and advertising. The role of public policy in the markets. Case studies include oil cartel OPEC, agricultural cooperatives, vertical integration of food processors and franchising of fast-food chains. Discussion sections cover empirical applications of theory presented during lectures for current environmental and agricultural policies.",,
Method,Environmental Economics and Policy (ENVECON),C180,Ecological Economics in Historical Context,3,None,,"Economists through history have explored economic and environmental interactions, physical limits to growth, what constitutes the good life, and how economic justice can be assured. Yet economists continue to use measures and models that simplify these issues and promote bad outcomes. Ecological economics responds to this tension between the desire for simplicity and the multiple perspectives needed to understand complexity in order to move toward sustainable, fulfilling, just economies.",,
Core,"Environmental Science, Policy, and Management (ESPM)",173,Introduction to Ecological Data Analysis,3,None,,"Introduces concepts and methods for practical analysis of data from ecology and related disciplines. Topics include data summaries, distributions, and probability; comparison of data groups using t-tests and analysis of variance; comparison of multi-factor groups using analysis of variance; evaluation of continuous relationships between variables using regression and correlation; and a glimpse at more advanced topics. In computer laboratories, students put concepts into practice and interpret results.",,
Core,"Environmental Science, Policy, and Management (ESPM)",C177,GIS and Environmental Spatial Data Analysis,4,None,,"This course offers an introduction to spatial data analysis. It integrates ArcGIS analysis with spatial statistical analysis for the study of pattern and process applicable to a wide variety of fields. Major topics covered include: spatial sampling, processing data with ARC Info, exploratory GIS analysis, spatial decomposition, spatial point patterns and Ripley's K function, spatial autocorrelation, geostatistics, spatially weighted regression, spatial autoregression, generalized linear models and generalized linear mixed models.",,
Method,"Environmental Science, Policy, and Management (ESPM)",100es,Introduction to the Methods of Environmental Science,4,Completion of upper division statistics requirement. Open only to declared Environmental Sciences majors.,,"Introduction to basic methods used in environmental research by biological, physical, and social scientists; designed to teach skills necessary to conduct independent thesis research in the required senior seminar, 196A-196B/196L. Topics include development of research questions, sampling methods, experimental design, statistical analysis, scientific writing and graphics, and introductions to special techniques for characterizing environmental conditions and features. This course is the prerequisite to 196A.""",,
Method,Geography (GEOG),187,Geographic Information Analysis,4,None,,"Advanced cartographic methods will focus primarily on data acquisition, manipulation, analysis, and representation using GIS software and vector-based illustration software, in the service of geographical analysis. Given that recording the geolocation of scientific, business and social data is now routine, the question of what we can learn from the spatial aspect of data arises. This class looks at challenges in analyzing spatial data, particularly scale and spatial dependence. Various methods are considered such as hotspot detection, interpolation, and map overlay. The emphasis throughout is hands on and practical rather than theoretical.",,
Core,Industrial Engineering and Operations Research (IND ENG),115,Databases,,None (but IEOR courses recommended),"MS Access, SQL","Design and implementation of databases, with an emphasis on industrial and commercial applications. Relational algebra, SQL, normalization. Students work in teams with local companies on a database design project. WWW design and queries.",,
Core,Industrial Engineering and Operations Research (IND ENG),165,"Engineering Statistics, Quality Control, Forecasting",3,IEOR 172 or STAT 134 or course with background in probability theory,"R, Python, or MATLAB","This course will introduce students to basic statistical techniques such as parameter estimation, hypothesis testing, regression analysis, analysis of variance. Specific applications in forecasting and quality control will be considered in detail.",,
Method,Industrial Engineering and Operations Research (IND ENG),130,Methods of Manufacturing Improvement,3,"172, Mathematics 54, or Statistics 134 (may be taken concurrently).",,"Analytical techniques for the improvement of manufacturing performance along the dimensions of productivity, quality, customer service, and throughput. Techniques for yield analysis, process control, inspection sampling, equipment efficiency analysis, cycle time reduction, and on-time delivery improvement. Applications on semiconductor manufacturing or other industrial settings.",,
Method,Industrial Engineering and Operations Research (IND ENG),162,Linear Programming,3,Mathematics 53 and 54.,,Formulation to linear programs. Optimal allocation and control problems in industry and environmental studies. Convex sets; properties of optimal solutions. The simplex method; theorems of duality; complementary slackness. Problems of post-optimization. Special structures; network problems. Digital computation.,,
Method,Industrial Engineering and Operations Research (IND ENG),131,Discrete Event Simulation,3,"161, 165; 172 or Statistics 134.",,"Free communication has changed the world, including the expectations and work and play. The class begins with the two data revolutions--the first about passively collected clicks on the web, the second about actively contributed data, as platforms like Facebook empower individuals to contribute a variety of quantitative and qualitative data (transactions, social relations, attention gestures, intention, location, and more.) With active student participation, we explore the far-reaching implications of the consumer data revolution for individuals, communities, business, and society.",,49 (Lecture)
Method,Industrial Engineering and Operations Research (IND ENG),172, Probability and Risk Analysis for Engineers,3,Mathematics 1A-1B or 16A-16B.,,"This course will introduce students to basic statistical techniques such as parameter estimation, hypothesis testing, regression analysis, analysis of variance. Specific applications in forecasting and quality control will be considered in detail.",,"76 (Lecture), 35/45 (Dis)"
Core,Industrial Engineering and Operations Reserach (IEOR),231,"Introduction to Data Modeling, Statistics, and System Simulation",3,"IEOR 262A, 263A",,"This course uses simulation models for analyzing and optimizing systems where the underlying processes and/or parameters are not fully known, but data may be available, sampled, or artificially generated. Monte Carlo simulations are used in a weekly laboratory to model systems that may be too complex to approximate accurately with deterministic, stationary, or static models; and to measure the robustness of predictions and manage risks in decisions based on data-driven models.",,
Method,Industrial Engineering and Operations Reserach (IEOR),265,Learning and Optimization,3,"IEOR 165, IEOR 162",,"This course will cover topics related to the interplay between optimization and statistical learning. The first part of the course will cover statistical modeling procedures that can be defined as the minimizer of a suitable optimization problem. The second part of the course will discuss the formulation and numerical implementation of learning-based model predictive control (LBMPC), which is a method for robust adaptive optimization that can use machine learning to provide the adaptation. The last part of the course will deal with inverse decision-making problems, which are problems where an agent's decisions are observed and used to infer properties about the agent. ",,
Method,Industrial Engineering and Operations Reserach (IEOR),264,Computational Optimization,3,IEOR 262A,,"This course is on computational methods for the solution of large-scale optimization problems. The focus is on converting the theory of optimization into effective computational techniques. Course topics include an introduction to polyhedral theory, cutting plane methods, relaxation, decomposition and heuristic approaches for large-scale optimization problems.",,
Method,Industrial Engineering and Operations Reserach (IEOR),166,Decision Analysis,3,IEOR 172 or Statistics 134,TREEAGE,"Introductory course on the theory and applications of decision analysis. Elective course that provides a systematic evaluation of decision-making problems under uncertainty. Emphasis on the formulation, analysis, and use of decision-making techniques in engineering, operations research and systems analysis. Includes formulation of risk problems and probabilistic risk assessments. Graphical methods and computer software using event trees, decision trees, and influence diagrams that focus on model design.",,
Method,Information (INFO),155,Introduction to High-Level Programming,3,None,,"An introduction to high-level computer programming languages with emphasis on strings, modules, functions and objects; sequential and event-based programming. Uses the PYTHON language.",,
Core,Interdisciplinary Studies Field Major (ISF),C145,GIS and Environmental Spatial Data Analysis,4,None,,"This course offers an introduction to spatial data analysis. It integrates ArcGIS analysis with spatial statistical analysis for the study of pattern and process applicable to a wide variety of fields. Major topics covered include: spatial sampling, processing data with ARC Info, exploratory GIS analysis, spatial decomposition, spatial point patterns and Ripley's K function, spatial autocorrelation, geostatistics, spatially weighted regression, spatial autoregression, generalized linear models and generalized linear mixed models. accompany the formation of multicultural Europe. This involves (1) an examination of the traditional concepts of nationhood and citizenship, and (2)a study of the Europeanization of culture. Also listed as History C176 and Geography C152.",,
Method,International and Area Studies (IAS),102,Scope and Methods of Research in International and Area Studies,4,Must intend to take DS H195 following semester,,"Introduction to interdisciplinary research strategies for the collection, interpretation, and analysis of data. Course integrates the study of the fundamental theories of social science with the practical techniques of social science research methods.",,
